MainIsland,AreaType,Province,RegencyCity,Year,pov_poorpeopleamount,pov_povertyline,pov_povertydepthindex,pov_povertyseverityindex,pov_poorpeoplepercentage,edu_underprimaryschool,ed_graduatedprimjunior,ed_graduatedoverhs,ed_literacyrate15to24,ed_literacyrate15to55,ed_schoolenrollrate7to12,ed_schoolenrollrate13to15,emp_unemployedperc,emp_employedinform,emp_employedform,emp_employedagric,emp_employednonagric,exp_poorfoodperc,exp_notpoorfoodperc,exp_bothfoodperc,housing_decentwaterperc,housing_privatetoiletperc,gov_aidreceiverperc
Sumatera,Kabupaten,Aceh,Simeulue,2021,18.25,458896,2.37,0.5,18.98,6.37,65.35,28.28,98.76,99.62,100.00,100.00,47.67,46.89,5.44,44.50,7.82,65.47,60.47,61.42,77.15,48.28,36.19
Sumatera,Kabupaten,Aceh,Aceh Singkil,2021,25.48,487249,3.67,0.91,20.36,15.53,56.19,28.27,100.00,99.45,99.89,96.96,53.31,24.57,22.12,29.47,17.22,68.71,61.17,62.71,74.63,74.36,"25.83
"
Sumatera,Kabupaten,Aceh,Aceh Selatan,2021,32.25,418689,1.69,0.4,13.18,11.55,65.60,22.84,100.00,99.97,100.00,100.00,50.63,31.94,17.44,32.24,17.13,66.24,64.16,64.43,"77.45
",57.90,56.57
Sumatera,Kabupaten,Aceh,Aceh Tenggara,2021,29.31,404725,2.51,0.71,13.41,11.18,48.31,40.51,100.00,100.00,100.00,100.00,42.14,38.88,18.98,35.75,22.11,65.90,60.91,61.58,84.12,67.40,10.94
Sumatera,Kabupaten,Aceh,Aceh Timur,2021,63.69,460422,2.31,0.54,14.45,10.83,62.22,26.95,100.00,99.50,98.52,100.00,52.6,32.92,14.48,32.30,15.10,61.16,61.02,61.04,76.42,64.50,29.48
Sumatera,Kabupaten,Aceh,Aceh Tengah,2021,32.72,505933,2.88,0.8,15.26,6.66,62.52,30.82,100.00,100.00,100.00,94.36,33.6,59.37,7.03,55.63,10.77,64.51,58.14,59.11,87,84.42,41.91
Sumatera,Kabupaten,Aceh,Aceh Barat,2021,39.83,533712,3.82,1.09,18.81,15.96,52.36,31.68,100.00,99.17,100.00,96.82,52.06,34.23,13.71,32.30,15.63,68.75,58.21,60.19,98.55,86.60,53.13
Sumatera,Kabupaten,Aceh,Aceh Besar,2021,60.26,489498,2.32,0.58,14.05,11.01,46.25,42.73,100.00,100.00,100.00,100.00,46.17,31.25,22.59,28.19,25.65,68.49,60.66,61.76,88.63,79.66,40.07
Sumatera,Kabupaten,Aceh,Pidie,2021,88.53,504452,3.04,0.84,19.59,10.35,55.04,34.62,100.00,100.00,100.00,98.00,46.43,38.17,15.40,33.57,20.00,67.11,63.35,64.09,83.18,46.90,53.75
Sumatera,Kabupaten,Aceh,Bireuen,2021,63.02,422685,2.07,0.4,13.25,6.38,58.75,34.87,100.00,100.00,100.00,95.59,44.52,35.54,19.94,29.77,25.71,65.80,64.2,64.41,91.64,78.73,49.53
Sumatera,Kabupaten,Aceh,Aceh Utara,2021,109.49,392412,2.17,0.43,17.43,9.82,51.72,38.46,100.00,100.00,100.00,100.00,52.37,34.15,13.48,34.42,13.21,65.80,63.24,63.68,85.93,79.86,34.78
Sumatera,Kabupaten,Aceh,Aceh Barat Daya,2021,25.06,406157,2.88,0.74,16.34,15.71,50.96,33.33,100.00,98.43,100.00,84.61,58.38,17.3,24.32,20.97,20.65,64.54,61.37,61.89,89.06,56.62,49.76
Sumatera,Kabupaten,Aceh,Gayo Lues,2021,18.61,438689,2.76,0.59,19.64,16.16,57.53,26.31,100.00,98.98,99.30,94.30,35.77,61.73,2.50,55.17,9.06,63.79,60.88,61.45,85.37,57.30,32.93
Sumatera,Kabupaten,Aceh,Aceh Tamiang,2021,40.03,479801,1.67,0.35,13.34,10.18,64.02,25.80,100.00,99.35,100.00,100.00,47.92,24.02,28.06,25.62,26.46,62.63,59.78,60.16,82.13,88.45,39.56
Sumatera,Kabupaten,Aceh,Nagan Raya,2021,30.71,508801,3.5,1.01,18.23,12.04,45.40,42.56,100.00,99.58,100.00,96.63,42.91,39.38,17.71,32.06,25.03,62.78,62.59,62.63,92.81,66.35,38.58
Sumatera,Kabupaten,Aceh,Aceh Jaya,2021,12.63,441706,2.06,0.5,13.23,23.47,49.93,26.60,100.00,96.58,100.00,86.27,36.54,51.35,12.11,50.75,12.72,65.36,62.28,62.69,81.99,72.28,27.83
Sumatera,Kabupaten,Aceh,Bener Meriah,2021,28.69,476074,4.62,1.51,19.16,0.68,48.74,50.59,100.00,100.00,100.00,100.00,40.99,52.51,6.50,48.83,10.17,58.23,57.92,57.98,87.69,94.98,21.42
Sumatera,Kabupaten,Aceh,Pidie Jaya,2021,31.79,495254,3.61,0.98,19.55,9.02,51.45,39.53,100.00,98.67,100.00,100.00,52.38,31.19,16.43,25.51,22.11,68.01,64.74,65.38,92.82,61.67,49.82
Sumatera,Kota,Aceh,Kota Banda Aceh,2021,20.95,698617,1.12,0.36,7.61,8.79,37.38,53.82,100.00,100.00,100.00,100.00,43.31,16.11,40.58,0.18,56.51,56.74,44.32,45.27,100,100.00,33.82
Sumatera,Kota,Aceh,Kota Sabang,2021,5.33,620373,2.8,0.82,15.32,3.57,41.12,55.31,100.00,100.00,100.00,100.00,45.27,25.87,28.86,11.24,43.49,61.97,58.42,58.97,92.83,92.84,29.35
Sumatera,Kota,Aceh,Kota Langsa,2021,19.78,435438,1.53,0.33,10.96,11.39,42.13,46.48,100.00,100.00,98.55,100.00,47.09,24.4,28.51,4.59,48.33,58.88,52.06,52.81,91.09,95.10,19.05
Sumatera,Kota,Aceh,Kota Lhokseumawe,2021,23.38,427045,1.87,0.54,11.16,3.21,41.95,54.84,100.00,98.96,99.83,100.00,50.5,21.5,28.01,14.85,34.65,64.33,54.6,55.69,96.51,89.47,26.4
Sumatera,Kota,Aceh,Kota Subulussalam,2021,14.46,418643,2.29,0.48,17.65,14.91,59.01,26.08,100.00,99.88,99.77,100.00,50.22,27.92,21.87,34.22,15.56,62.35,59.99,60.40,39.28,69.70,21.63
Sumatera,Kabupaten,Sumatera Utara,Nias,2021,24.33,428739,2.21,0.43,16.82,34.51,47.86,17.63,98.73,95.70,95.41,86.54,27.71,69.93,2.35,67.62,4.67,60.57,57.73,58.21,31.6,53.77,24.24
Sumatera,Kabupaten,Sumatera Utara,Mandailing Natal,2021,43.24,423017,1.44,0.37,9.49,9.97,60.43,29.61,100.00,100.00,99.25,93.07,29.45,50.83,19.72,47.55,23.01,67.09,64.19,64.46,90.62,28.32,22.15
Sumatera,Kabupaten,Sumatera Utara,Tapanuli Selatan,2021,25.01,420431,1.53,0.4,8.8,19.08,69.13,11.79,100.00,100.00,96.38,86.19,23.91,72.15,3.94,73.35,2.74,64.02,64.85,64.78,74.13,30.08,7.9
Sumatera,Kabupaten,Sumatera Utara,Tapanuli Tengah,2021,49.95,429050,2.04,0.47,12.67,31.79,51.07,17.15,100.00,97.82,96.46,88.47,32.41,50.31,17.28,49.94,17.65,64.61,60.98,61.44,50.21,51.10,34.17
Sumatera,Kabupaten,Sumatera Utara,Tapanuli Utara,2021,29.72,437428,1.21,0.23,9.72,10.80,47.52,41.68,100.00,100.00,98.29,97.19,31.77,63.84,4.39,48.05,20.18,65.93,64.63,64.76,90.15,68.59,33.25
Sumatera,Kabupaten,Sumatera Utara,Toba Samosir,2021,16.61,435332,1.34,0.31,8.99,13.00,43.99,43.01,100.00,100.00,96.60,100.00,27.65,64.94,7.41,57.55,14.80,68.95,61.58,62.25,93.25,78.40,31.25
Sumatera,Kabupaten,Sumatera Utara,Labuhan Batu,2021,45.03,457021,1.32,0.29,8.74,9.75,59.89,30.36,100.00,98.95,100.00,95.06,53.2,24.91,21.90,21.17,25.63,63.83,57.81,58.34,95.87,92.03,33.86
Sumatera,Kabupaten,Sumatera Utara,Asahan,2021,69.29,377752,1.9,0.59,9.35,9.26,41.52,49.22,100.00,100.00,100.00,94.72,44.84,27.12,28.04,19.80,35.36,63.11,57.99,58.46,87.69,89.56,22.35
Sumatera,Kabupaten,Sumatera Utara,Simalungun,2021,76.99,416714,1.12,0.23,8.81,13.19,48.65,38.16,100.00,100.00,94.54,94.78,39.12,43.85,17.03,35.29,25.59,64.41,59.60,60.02,100,86.35,17.79
Sumatera,Kabupaten,Sumatera Utara,Dairi,2021,23.72,408893,1.24,0.28,8.31,5.16,46.81,48.03,100.00,100.00,98.76,100.00,19.12,73.80,7.08,65.66,15.22,67.53,62.12,62.57,97.43,96.83,17.69
Sumatera,Kabupaten,Sumatera Utara,Karo,2021,38.01,531519,1.23,0.29,8.79,7.23,49.68,43.09,100.00,100.00,100.00,89.54,19.98,59.58,20.44,56.87,23.15,64.5,65.24,65.17,70.37,89.54,"7.92
"
Sumatera,Kabupaten,Sumatera Utara,Deli Serdang,2021,92.52,428123,0.56,0.13,4.01,13.61,34.58,51.81,100.00,100.00,100.00,100.00,52.57,24.37,23.06,21.88,25.55,62.73,56.25,56.51,92.04,85.26,15.3
Sumatera,Kabupaten,Sumatera Utara,Langkat,2021,106.59,432371,1.17,0.23,10.12,9.99,64.68,25.33,100.00,100.00,100.00,100.00,39.85,33.78,26.37,24.82,35.32,62.36,60.88,61.03,88.62,95.62,28.3
Sumatera,Kabupaten,Sumatera Utara,Nias Selatan,2021,55.16,329308,2.38,0.52,16.92,41.06,43.78,15.16,97.77,95.41,97.28,77.11,28.4,64.16,7.44,57.42,14.18,64.71,62.81,63.13,43.37,44.47,12.09
Sumatera,Kabupaten,Sumatera Utara,Humbang Hasundutan,2021,18.71,397237,1.25,0.26,9.65,18.11,45.89,36.00,100.00,100.00,100.00,96.26,16.86,76.96,6.18,69.82,13.32,"64.24
",61.57,61.82,"84.61
",100.00,41.33
Sumatera,Kabupaten,Sumatera Utara,Pakpak Bharat,2021,4.79,332644,1.05,0.2,9.35,15.51,52.17,32.32,90.94,97.91,100.00,95.54,14.15,82.32,3.52,59.12,26.72,62.48,60.09,60.32,89.39,92.74,35.85
Sumatera,Kabupaten,Sumatera Utara,Samosir,2021,16.08,370082,2.2,0.6,12.68,15.89,38.49,45.63,100.00,100.00,98.31,100.00,29.77,63.11,7.12,59.63,10.61,66.15,62.99,63.39,50.21,82.14,27.82
Sumatera,Kabupaten,Sumatera Utara,Serdang Bedagai,2021,51.16,448372,0.87,0.13,8.3,7.99,57.64,34.37,100.00,100.00,100.00,90.38,48.25,29.55,22.20,18.15,33.60,64.7,60.69,61.02,98.28,96.82,23.22
Sumatera,Kabupaten,Sumatera Utara,Batu Bara,2021,52.59,477564,1.99,0.51,12.38,27.20,47.94,24.87,100.00,100.00,95.13,95.29,46.5,28.83,24.67,27.27,26.23,64.75,58.84,59.57,100,91.76,35.96
Sumatera,Kabupaten,Sumatera Utara,Padang Lawas Utara,2021,28.37,401435,1.29,0.24,9.92,6.46,50.81,42.73,100.00,100.00,100.00,100.00,24.71,66.46,8.83,64.12,11.18,64.22,61.76,62.00,83.09,48.84,10.5
Sumatera,Kabupaten,Sumatera Utara,Padang Lawas,2021,25.78,388404,1.33,0.34,8.69,16.32,55.96,27.72,100.00,100.00,100.00,100.00,39.99,42.59,17.42,41.52,18.49,67.67,60.70,61.30,83.4,44.91,24.44
Sumatera,Kabupaten,Sumatera Utara,Labuhan Batu Selatan,2021,30.36,426574,1.22,0.26,8.53,10.45,60.49,29.06,100.00,100.00,98.88,100.00,32.68,37.24,30.08,46.57,20.76,59.9,55.80,56.15,84.71,83.46,41.15
Sumatera,Kabupaten,Sumatera Utara,Labuhan Batu Utara,2021,37.13,497922,1.07,0.22,10.02,13.06,58.27,28.66,98.01,97.58,100.00,100.00,50.64,24.50,24.86,28.12,21.25,65.02,59.33,59.90,74,87.92,14.36
Sumatera,Kabupaten,Sumatera Utara,Nias Utara,2021,35.84,455118,4.24,1.1,25.66,33.65,45.89,20.45,98.68,97.66,98.28,100.00,33.62,64.24,2.14,58.97,7.42,61.32,63.15,62.68,42.24,57.52,48.37
Sumatera,Kabupaten,Sumatera Utara,Nias Barat,2021,21.75,458533,3.32,0.76,26.42,37.13,38.36,24.51,100.00,98.12,98.95,95.68,24.35,71.43,4.22,68.85,6.80,60.44,58.76,59.20,68.24,64.95,54.11
Sumatera,Kota,Sumatera Utara,Kota Sibolga,2021,10.80,485527,2.04,0.51,12.33,9.41,52.49,38.11,100.00,100.00,98.57,100.00,45.23,21.15,33.61,6.71,48.05,60.45,58.76,58.97,76.72,90.03,44.21
Sumatera,Kota,Sumatera Utara,Kota Tanjung Balai,2021,24.10,482602,1.72,0.32,13.4,15.87,53.65,30.48,100.00,100.00,100.00,97.31,45.32,27.10,27.58,13.93,40.75,65.28,61.39,61.92,82.95,95.82,35.67
Sumatera,Kota,Sumatera Utara,Kota Pematang Siantar,2021,22.06,583588,1.12,0.24,8.52,11.50,44.81,43.70,100.00,100.00,100.00,100.00,35.64,34.59,29.77,3.46,60.91,62.87,53.66,54.44,100,94.36,50.05
Sumatera,Kota,Sumatera Utara,Kota Tebing Tinggi,2021,17.37,536531,1.37,0.28,10.3,14.63,46.45,38.92,100.00,100.00,98.22,100.00,36.03,30.04,33.94,3.32,60.65,60.78,53.43,54.19,96.88,97.14,37
Sumatera,Kota,Sumatera Utara,Kota Medan,2021,193.03,577126,1.1,0.23,8.34,2.66,48.49,48.85,100.00,100.00,98.68,93.73,46.07,23.24,30.69,4.95,48.99,58.02,49.15,49.89,94.82,93.11,16.41
Sumatera,Kota,Sumatera Utara,Kota Binjai,2021,16.46,466554,0.59,0.09,5.81,5.77,58.20,36.03,100.00,100.00,100.00,98.59,41.55,31.51,26.94,2.61,55.84,63.49,55.67,56.12,100,100.00,21.23
Sumatera,Kota,Sumatera Utara,Kota Padangsidimpuan,2021,17.28,453777,1.17,0.28,7.53,18.49,50.03,31.48,100.00,100.00,100.00,95.32,38.17,41.93,19.90,16.74,45.09,64.76,56.62,57.23,29.96,60.43,42.78
Sumatera,Kota,Sumatera Utara,Kota Gunungsitoli,2021,24.02,408190,2.66,0.68,16.45,29.61,46.24,24.15,100.00,99.17,100.00,100.00,38.5,43.53,17.97,38.98,22.52,59.65,56.21,56.78,58.87,74.28,62.07
Sumatera,Kabupaten,Sumatera Barat,Kepulauan Mentawai,2021,14.31,356403,2.43,0.63,14.84,48.03,43.07,8.90,97.44,97.46,98.43,87.14,30.59,67.03,2.38,67.85,1.56,68.6,61.66,62.69,45.5,35.74,30.4
Sumatera,Kabupaten,Sumatera Barat,Pesisir Selatan,2021,37.41,491573,0.87,0.15,7.92,23.46,48.56,27.98,97.79,99.37,100.00,100.00,52.02,31.55,16.43,32.16,15.83,63.46,58.22,58.64,62.98,71.20,48.9
Sumatera,Kabupaten,Sumatera Barat,Solok,2021,30.36,461030,0.91,0.15,8.01,30.80,50.33,18.86,100.00,100.00,100.00,100.00,34.93,60.14,4.93,47.98,17.09,62.35,61.65,61.70,59.73,57.67,20.76
Sumatera,Kabupaten,Sumatera Barat,Sijunjung,2021,16.81,455346,0.86,0.17,6.8,36.73,48.69,14.58,100.00,98.81,95.73,62.94,41.92,41.09,16.99,34.97,23.11,61.78,55.70,56.12,36.33,59.69,25.47
Sumatera,Kabupaten,Sumatera Barat,Tanah Datar,2021,15.89,441793,0.64,0.13,4.54,33.12,42.30,24.58,100.00,100.00,100.00,100.00,32.02,55.31,12.67,43.49,24.49,60.44,60.33,60.33,89.52,71.56,11.46
Sumatera,Kabupaten,Sumatera Barat,Padang Pariaman,2021,30.41,475342,0.81,0.16,7.22,42.40,39.44,18.16,100.00,100.00,100.00,96.74,48.72,38.56,12.71,25.12,26.15,63.41,58.42,58.78,62.99,54.61,29.69
Sumatera,Kabupaten,Sumatera Barat,Agam,2021,34.26,444711,0.98,0.23,6.85,16.74,57.51,25.74,100.00,100.00,98.94,100.00,37.33,41.08,21.59,32.13,30.54,60.01,58.32,58.44,83.12,79.77,13.1
Sumatera,Kabupaten,Sumatera Barat,Lima Puluh Kota,2021,28.51,475123,1.21,0.3,7.29,22.61,56.64,20.76,100.00,100.00,100.00,100.00,35.04,39.25,25.71,26.54,38.42,65.45,59.55,59.98,57.83,75.82,15.61
Sumatera,Kabupaten,Sumatera Barat,Pasaman,2021,21.57,408293,0.67,0.13,7.48,29.34,50.65,20.01,100.00,100.00,100.00,100.00,34.26,54.36,11.38,47.95,17.78,61.3,59.99,60.08,82.37,36.04,31.15
Sumatera,Kabupaten,Sumatera Barat,Solok Selatan,2021,13.41,438187,1.28,0.31,7.52,29.96,45.11,24.93,100.00,94.22,100.00,90.62,41.56,42.03,16.40,39.07,19.37,65.73,55.76,56.51,70.13,72.79,20.17
Sumatera,Kabupaten,Sumatera Barat,Dharmasraya,2021,17.60,503183,0.75,0.12,6.67,39.98,45.92,14.09,100.00,100.00,100.00,68.80,34.67,39.86,25.47,42.20,23.13,61.87,53.59,54.15,54.13,59.89,"14.73
"
Sumatera,Kabupaten,Sumatera Barat,Pasaman Barat,2021,34.97,492467,1.24,0.29,7.51,12.24,52.77,34.99,100.00,100.00,100.00,90.68,43.7,47.50,8.80,37.24,19.06,66.56,60.43,60.89,75.23,49.80,56.15
Sumatera,Kota,Sumatera Barat,Kota Padang,2021,48.44,602540,0.67,0.13,4.94,8.16,48.21,43.63,100.00,100.00,95.40,84.91,57.07,28.66,14.26,2.63,40.30,57.48,49.35,49.75,81.79,89.85,14.24
Sumatera,Kota,Sumatera Barat,Kota Solok,2021,2.31,464977,0.28,0.05,3.12,19.13,67.89,12.98,100.00,100.00,92.93,88.25,52.1,13.02,34.87,3.36,44.54,60.47,53.98,54.18,85.51,100.00,28.88
Sumatera,Kota,Sumatera Barat,Kota Sawah Lunto,2021,1.52,412757,0.33,0.06,2.38,26.43,52.46,21.11,100.00,100.00,100.00,100.00,36.86,38.99,24.15,4.32,58.82,56.79,55.08,55.13,80.97,86.92,7.47
Sumatera,Kota,Sumatera Barat,Kota Padang Panjang,2021,3.28,516648,0.76,0.16,5.92,16.67,45.15,38.18,100.00,100.00,100.00,100.00,37.42,29.74,32.83,7.04,55.54,"58.36
",51.58,51.98,"91.47
",91.47,18.53
Sumatera,Kota,Sumatera Barat,Kota Bukittinggi,2021,6.98,540457,0.8,0.19,5.14,21.80,29.82,48.38,100.00,95.67,100.00,100.00,37.32,34.97,27.71,8.09,54.59,56.14,50.76,51.03,95.63,88.83,33.03
Sumatera,Kota,Sumatera Barat,Kota Payakumbuh,2021,8.66,543335,0.82,0.17,6.16,35.35,35.29,29.36,100.00,97.89,100.00,100.00,48.41,37.66,13.93,11.60,39.99,58.87,52.22,52.63,100,95.26,39.54
Sumatera,Kota,Sumatera Barat,Kota Pariaman,2021,3.99,495386,0.36,0.08,4.38,23.24,53.28,23.47,100.00,100.00,100.00,100.00,47.65,28.50,23.85,9.24,43.12,63.35,57.00,57.28,89.78,94.09,12.78
Sumatera,Kabupaten,Riau,Kuantan Singingi,2021,28.90,599163,1.14,0.23,7.12,26.46,48.64,24.90,98.20,99.47,100.00,83.05,44.99,36.16,18.85,37.35,17.65,61.41,54.37,55.00,78.18,77.17,32.65
Sumatera,Kabupaten,Riau,Indragiri Hulu,2021,27.35,549563,0.81,0.15,8.97,31.93,45.68,22.39,100.00,100.00,95.94,94.30,61.29,13.99,24.72,20.70,18.01,56.36,53.45,53.63,53.86,79.34,13.71
Sumatera,Kabupaten,Riau,Indragiri Hilir,2021,44.61,518283,0.9,0.21,6.18,25.12,66.03,8.86,100.00,100.00,100.00,72.79,42.3,46.47,11.23,40.02,17.68,62.8,60.34,60.50,89.98,75.16,16.2
Sumatera,Kabupaten,Riau,Pelalawan,2021,49.30,618738,1.45,0.32,6.18,14.40,55.07,30.53,100.00,100.00,100.00,92.69,45.61,23.85,30.54,36.91,17.48,59.83,55.01,55.47,63.36,85.03,7.01
Sumatera,Kabupaten,Riau,Siak,2021,25.77,489467,0.61,0.12,9.63,4.10,46.87,49.03,100.00,100.00,100.00,100.00,52.87,20.79,26.34,19.69,27.44,58.56,52.88,53.17,90.19,97.03,14.58
Sumatera,Kabupaten,Riau,Kampar,2021,68.74,477603,0.99,0.21,5.18,7.27,63.80,28.94,100.00,100.00,100.00,100.00,53.67,26.59,19.74,22.21,24.12,60.45,55.65,56.02,89.27,86.98,13.61
Sumatera,Kabupaten,Riau,Rokan Hulu,2021,74.73,551351,1.51,0.36,7.82,16.39,59.45,24.16,100.00,100.00,100.00,100.00,48.39,26.86,24.74,23.52,28.09,60.11,57.93,58.16,90.32,87.41,13.08
Sumatera,Kabupaten,Riau,Bengkalis,2021,37.66,604925,0.73,0.13,10.4,13.43,46.45,40.13,100.00,100.00,97.72,100.00,56.76,20.95,22.29,14.75,28.49,59.17,56.75,56.91,91.66,95.76,23.65
Sumatera,Kabupaten,Riau,Rokan Hilir,2021,51.97,437398,0.79,0.18,6.64,7.56,61.17,31.28,100.00,100.00,96.01,93.05,52.48,24.04,23.47,26.57,20.95,61.97,59.49,59.67,81.55,98.66,17.19
Sumatera,Kabupaten,Riau,Kepulauan Meranti,2021,48.50,542599,4.46,1.22,7.18,17.52,58.18,24.30,100.00,99.78,98.91,94.86,45.75,25.74,28.51,32.31,21.95,58.21,54.91,55.76,82.3,94.78,37.5
Sumatera,Kota,Riau,Kota Pekanbaru,2021,32.73,613183,0.19,0.03,25.68,9.36,58.46,32.18,100.00,100.00,100.00,100.00,40.47,18.13,41.40,4.73,54.80,59.99,47.24,47.61,90.88,62.61,5.66
Sumatera,Kota,Riau,Kota Dumai,2021,10.57,509002,0.4,0.07,2.83,10.78,52.68,36.55,100.00,100.00,100.00,100.00,48.73,18.07,33.19,15.83,35.43,60.08,51.52,51.82,93.88,100.00,12.3
Sumatera,Kabupaten,Jambi,Kerinci,2021,18.45,396168,0.81,0.15,3.42,24.10,61.31,14.58,100.00,100.00,100.00,100.00,49.15,46.36,4.50,41.01,9.84,60.26,56.65,56.93,83.47,86.78,21.69
Sumatera,Kabupaten,Jambi,Merangin,2021,35.44,453696,1.25,0.25,7.71,17.49,58.32,24.19,100.00,100.00,94.91,93.57,45.67,40.62,13.71,32.96,21.38,68.44,59.53,60.34,59.52,90.19,8.34
Sumatera,Kabupaten,Jambi,Sarolangun,2021,27.06,472866,1.13,0.21,9.11,23.99,56.43,19.58,100.00,100.00,100.00,83.85,48.64,31.13,20.23,31.11,20.24,63.72,55.83,56.53,66.24,70.61,14.86
Sumatera,Kabupaten,Jambi,Batang Hari,2021,27.24,462468,1.27,0.24,8.87,12.62,63.48,23.90,100.00,98.92,98.98,100.00,44.78,41.48,13.75,47.27,7.96,60.35,56.51,56.89,52.12,54.77,21.83
Sumatera,Kabupaten,Jambi,Muaro Jambi,2021,20.49,425294,0.47,0.09,10.05,21.80,57.00,21.20,100.00,100.00,100.00,87.87,50,23.31,26.69,32.57,17.43,61.12,56.72,56.92,71.23,79.68,1.23
Sumatera,Kabupaten,Jambi,Tanjung Jabung Timur,2021,24.42,406772,2.07,0.61,4.53,29.42,50.82,19.76,100.00,100.00,100.00,100.00,36.95,50.22,12.84,48.77,14.28,60.35,60.58,60.55,70.02,74.98,18.29
Sumatera,Kabupaten,Jambi,Tanjung Jabung Barat,2021,36.10,409631,1.96,0.53,11.39,23.17,62.68,14.14,100.00,99.26,100.00,100.00,40.15,43.06,16.79,43.81,16.04,64.94,58.81,59.47,74.75,96.18,38.35
Sumatera,Kabupaten,Jambi,Tebo,2021,23.77,448461,0.99,0.22,10.75,22.03,57.04,20.92,100.00,100.00,100.00,80.13,43.28,36.61,20.11,41.28,15.44,63.49,58.21,58.56,96.93,94.91,12.28
Sumatera,Kabupaten,Jambi,Bungo,2021,23.64,436020,0.92,0.18,6.68,30.58,60.48,8.94,100.00,100.00,100.00,100.00,42.79,35.73,21.48,40.50,16.71,61.05,55.91,56.23,51.51,77.01,16.06
Sumatera,Kota,Jambi,Kota Jambi,2021,54.23,563403,1.42,0.34,6.23,5.17,45.59,49.25,100.00,100.00,100.00,100.00,48.87,19.24,31.88,2.05,49.07,62.26,48.52,49.76,63.92,59.50,42.1
Sumatera,Kota,Jambi,Kota Sungai Penuh,2021,3.03,426380,0.43,0.11,9.02,11.08,40.37,48.55,100.00,100.00,100.00,94.96,49.77,28.89,21.34,2.26,47.97,57.69,56.50,56.54,99.34,100.00,-
Sumatera,Kabupaten,Sumatera Selatan,Ogan Komering Ulu,2021,47.50,481139,1.83,0.36,3.41,25.35,52.30,22.35,100.00,100.00,100.00,99.84,39.18,37.86,22.96,43.30,17.52,65.46,56.01,57.20,70.66,94.06,46.96
Sumatera,Kabupaten,Sumatera Selatan,Ogan Komering Ilir,2021,124.78,393240,3.52,1.16,12.62,28.78,57.22,14.00,100.00,98.14,100.00,96.62,39.79,43.63,16.58,36.11,24.10,66.1,59.48,60.45,65.17,65.12,27.64
Sumatera,Kabupaten,Sumatera Selatan,Muara Enim,2021,80.40,405782,1.66,0.32,14.68,24.49,48.14,27.37,100.00,99.04,97.92,86.73,37.37,41.26,21.37,43.82,18.81,61.32,54.92,55.70,64.38,75.31,42.46
Sumatera,Kabupaten,Sumatera Selatan,Lahat,2021,68.40,485142,3.14,0.81,12.32,21.27,52.85,25.88,100.00,100.00,100.00,88.69,33.89,55.98,10.12,47.14,18.97,"65.98
",58.98,60.13,88,74.06,39.29
Sumatera,Kabupaten,Sumatera Selatan,Musi Rawas,2021,57.46,493675,2.43,0.63,16.46,21.74,58.95,19.31,100.00,99.00,100.00,89.30,36.04,38.51,25.45,56.47,7.49,63.99,59.16,59.83,"73.91
",66.50,17.7
Sumatera,Kabupaten,Sumatera Selatan,Musi Banyuasin,2021,105.23,537774,3.1,0.83,13.89,22.20,62.10,15.70,100.00,100.00,100.00,93.95,42.2,36.67,21.13,38.56,19.25,62.29,54.23,55.51,65.44,94.85,31.74
Sumatera,Kabupaten,Sumatera Selatan,Banyu Asin,2021,94.08,445089,2,0.45,15.84,13.04,65.44,21.51,100.00,99.43,95.79,81.65,49.14,23.15,27.71,29.46,21.41,63.87,60.48,60.85,68.98,79.94,26.32
Sumatera,Kabupaten,Sumatera Selatan,Ogan Komering Ulu Selatan,2021,41.23,359859,1.28,0.24,10.75,12.37,71.02,16.61,100.00,100.00,100.00,100.00,35.1,58.57,6.33,56.98,7.92,68.58,62.52,63.20,64.46,86.75,16.72
Sumatera,Kabupaten,Sumatera Selatan,Ogan Komering Ulu Timur,2021,72.89,362446,1.3,0.23,11.12,22.22,63.59,14.19,100.00,98.30,100.00,59.48,47.92,23.76,28.32,41.12,10.96,63.31,56.53,57.25,81.88,70.56,16.45
Sumatera,Kabupaten,Sumatera Selatan,Ogan Ilir,2021,60.50,492537,2.55,0.59,10.6,14.44,64.90,20.67,100.00,100.00,100.00,85.88,42.31,39.06,18.62,28.50,29.19,66.38,61.82,62.45,89.1,91.01,54.94
Sumatera,Kabupaten,Sumatera Selatan,Empat Lawang,2021,34.11,360378,1.84,0.42,13.82,26.46,54.38,19.16,100.00,100.00,100.00,100.00,36.74,54.65,8.61,56.44,6.82,65.39,61.92,62.39,57.41,68.23,27.43
Sumatera,Kabupaten,Sumatera Selatan,Penukal Abab Lematang Ilir,2021,25.10,435379,1.84,0.47,13.35,31.92,47.39,20.69,100.00,100.00,100.00,86.25,36.27,46.87,16.87,48.52,15.21,58.24,56.11,56.38,28.63,39.00,11.36
Sumatera,Kabupaten,Sumatera Selatan,Musi Rawas Utara,2021,39.50,532273,3.02,0.73,12.91,25.96,53.42,20.62,100.00,100.00,100.00,100.00,48.34,33.54,18.12,41.46,10.20,64.6,60.94,61.68,88.16,94.00,11.46
